,,,KH2PO4,NH4Cl,KCl,MgSO4*7H2O,ZnSO4·7H2O,H3BO3,MnCl2·4H2O,FeSO4·7H2O,CoCl2·6H2O,CuSO4·5H20,Na2MoO4·2H2O,Na4EDTA,biotin,pyridoxine,thiamine,riboflavin,para-aminobenzoic acid,nicotinic acid
k,l,11,0.592608,0.829521,0.159113,0.227407,0.487338,0.114322,0.391651,0.240321,0.268775,0.354381,0.042738,2.215860,0.002445,0.007181,0.008625,0.066667,0.006609,0.003108
l,q,16,1.904110,1.781166,0.321659,1.350978,0.330167,0.368648,0.432533,0.038732,0.310076,0.106304,0.051511,1.577051,0.002405,0.008159,0.007676,0.049524,0.000931,0.006575
m,r,17,0.833371,0.681849,0.306765,0.438219,0.340991,0.300236,0.297025,0.209993,0.481223,0.072767,0.087571,1.761225,0.008537,0.008189,0.008422,0.031429,0.004879,0.005449
n,u,20,1.372165,1.113386,0.593621,1.466518,0.326297,0.468642,0.020288,0.208285,0.241248,0.357198,0.095694,1.276272,0.002475,0.000552,0.008537,0.060000,0.009072,0.004452
o,x,23,1.583011,0.631942,4.418551,3.367415,0.113684,0.283529,0.310505,0.013489,0.013996,0.124755,0.050776,2.294144,0.007847,0.001451,0.007579,0.061905,0.008975,0.006814
p,z,25,1.556478,1.325467,0.451011,0.485770,0.002412,0.011460,0.005386,0.004633,0.001576,0.001758,0.000078,0.004630,0.000109,0.000101,0.000102,0.000104,0.000094,0.000091
q,ba,26,2.585733,1.965288,3.876564,3.512002,0.279191,0.106013,0.455640,0.390576,0.216876,0.267086,0.095457,1.211474,0.006608,0.001744,0.001698,0.018095,0.000454,0.005397
r,bb,27,1.046277,3.303182,4.789812,0.789647,0.265018,0.042155,0.306720,0.262345,0.466454,0.163270,0.076827,2.237153,0.004717,0.008630,0.000681,0.033333,0.003638,0.007753
s,bc,28,2.048488,3.955852,4.666320,0.204766,0.066574,0.289513,0.458622,0.122222,0.003470,0.008149,0.020807,2.292761,0.009422,0.003738,0.007516,0.059048,0.007318,0.007072
t,bd,29,3.889690,4.319213,4.783651,1.614815,0.078660,0.009209,0.365745,0.169773,0.205240,0.321860,0.079907,2.425746,0.001951,0.005620,0.005037,0.021905,0.006057,0.008928
u,be,30,0.554561,1.724935,3.727283,2.823040,0.143008,0.077555,0.324884,0.367668,0.029087,0.358511,0.037997,1.195046,0.004483,0.000021,0.009021,0.049524,0.003796,0.007169
v,bf,31,2.846039,3.837443,3.342150,2.572997,0.013983,0.815449,0.313017,0.152005,0.363591,0.082603,0.001253,2.065305,0.004697,0.001525,0.007392,0.047619,0.004182,0.009583
w,bg,32,4.398306,3.807857,3.029419,3.020582,0.275265,0.169002,0.397934,0.015595,0.435862,0.222906,0.077130,1.428605,0.002644,0.006404,0.007250,0.070476,0.001980,0.006712
x,bh,33,1.038313,3.520151,0.775047,3.145692,0.281229,0.287069,0.302575,0.342886,0.037433,0.467116,0.066191,1.632345,0.007346,0.007831,0.003660,0.005464,0.007023,0.005785
y,bi,34,1.043006,2.620689,4.438339,3.962105,0.215963,0.091056,0.496529,0.102585,0.025279,0.062286,0.031665,1.217309,0.000297,0.008966,0.008761,0.040000,0.000323,0.005688
,h,7,0.917419299,1.13729775,0.18710037,0.944443293,0.349813475,0.58389776,0.389878049,0.099787502,0.188638876,0.355725118,0.037383178,1.950640664,0.00917036,0.001696526,0.00222641,0.062976545,0.009553929,0.008424233
,m,12,0.30750392,1.139573082,0.55133142,0.468454402,0.242386658,0.382543287,0.468880017,0.107294583,0.230534712,0.26468981,0.030851104,0.992368805,0.008077376,0.000533358,0.001889476,0.010693223,0.005127322,0.004070658
,n,13,1.37554547,1.445240709,0.203169013,0.332521723,0.416764646,0.738506303,0.125496857,0.135091523,0.067576622,0.356170435,0.04259088,2.266163092,0.005947987,0.004724797,0.004053814,0.019655504,0.006073379,0.005224671
,o,14,0.559750205,1.426620038,0.993684001,0.578079393,0.161880783,1.013120828,0.326575383,0.41049795,0.351343488,0.267449562,0.052185212,1.353019933,0.009083739,0.005217804,0.001705933,0.02498617,0.005014844,0.005147227
,p,15,0.441949938,1.588451875,0.515080093,0.697600518,0.485089471,0.694412174,0.315678315,0.217951398,0.43952935,0.432694241,0.011729325,0.871954287,0.009804752,0.003292565,0.006848586,0.03272504,0.006924941,0.008098423
,s,18,0.653595715,1.116207715,0.209745421,0.507636983,0.411929389,0.697934933,0.103862276,0.126820609,0.486664568,0.485941783,0.096107356,0.599374213,0.006656694,0.000990671,0.007058462,0.049182144,0.001237404,0.008766069
,t,19,1.035311436,1.243053589,0.655744736,0.616488345,0.425916418,0.697764069,0.124911835,0.123705989,0.478280706,0.552,0.09888664,0.124059733,0.003480597,0.008227627,0.009516542,0.049447875,0.007712872,0.006769617
,v,21,1.12005297,1.242657567,1.279963354,0.543126142,0.086062667,1.006940634,0.436526821,0.344104599,0.279940874,0.291049909,0.058985621,0.516362005,0.00591735,0.006815176,0.007605729,0.032628555,0.006211037,0.006026425
,w,22,4.619793448,3.180390817,3.814341125,0.280609177,0.237304064,0.879325286,0.435048336,0.354151545,0.088064754,0.487628498,0.089010467,2.058640264,0.009972478,0.009589393,0.003317847,0.018708038,0.001812884,0.006658541
,y,24,4.291070956,4.091896908,1.321018803,0.299798724,0.411874598,0.080134892,0.468359709,0.114329208,0.357078877,0.361906074,0.069739283,0.913847264,0.008394108,0.000310742,0.002309277,0.044396616,0.006924767,0.005049794
